Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Validation Loss,Validation Accuracy
1,1.4719160672427778,0.45419722901385495,1.4314466087768476,0.4907075317900228,1.4312676818420489,0.4923377893707206
2,1.1668045778784324,0.5766096169519153,1.2841658272470038,0.5943919139223998,1.284617265065511,0.5947179654385393
3,1.0246864918041416,0.6329258353708231,1.232251691011091,0.615259210955331,1.2313957329218586,0.6221062927942614
4,0.9281539131329921,0.6660961695191524,1.2893751822412014,0.615259210955331,1.2870212867856026,0.6172155200521683
5,0.8503903307535502,0.6935615321923391,1.2304602349177003,0.5745027714378872,1.2310783260812361,0.5764590805347245
6,0.7947507686378747,0.7184189079054605,1.147557096555829,0.6403651776980763,1.1484977845102549,0.6410172807303554
7,0.7583936786441791,0.7316218418907905,1.1429233799378078,0.6491685686338442,1.1415081244582932,0.6481904140854255
8,0.70620839459994,0.7497962510187449,1.044128089832763,0.6638408868601239,1.0434322756094236,0.6726442777958918
9,0.6822112578767531,0.7547677261613692,1.0755801293998957,0.6475383110531464,1.0737287780890863,0.6432996413433323
10,0.6446611715147983,0.7726976365118174,0.965536147976915,0.7098141506358004,0.9645695251723131,0.7114444082164982
11,0.6155229312266955,0.7819070904645476,1.043015797312061,0.6224323443104011,1.0418214599291484,0.6234104988588197
12,0.5908540952295026,0.7940505297473512,1.1824551848694682,0.5963482230192371,1.182589669401447,0.5983045321160744
13,0.5648345793105632,0.8,1.0750551940873265,0.667427453537659,1.0745173276712496,0.667427453537659
14,0.5451035684234471,0.8084759576202118,0.9642333327792585,0.6742745353765895,0.9584288086431721,0.6736224323443104
15,0.5221081939143416,0.8166259168704156,1.0103534621496995,0.6807955656993805,1.0094494801014662,0.6772089990218455
16,0.4890375792581923,0.8268948655256724,0.9702585926279426,0.6873165960221715,0.9692918434739113,0.6847081838930551
17,0.4704875505906973,0.8325183374083129,0.9852662173410257,0.7000326051516139,0.985027306402723,0.7032931203130095
18,0.44740361263283385,0.8385493072534638,0.933317379715542,0.667427453537659,0.9296814392631253,0.664492989892403
19,0.4440493738373457,0.8436022819885901,0.9878512939127783,0.6498206716661232,0.990539349305133,0.6452559504401696
20,0.42544524423593494,0.8463732681336593,1.082241613107423,0.5810238017606781,1.0793627016246319,0.5901532442125856
21,0.3969535228821802,0.8572127139364303,1.0920324098939698,0.6269970655363547,1.0947170651828249,0.6221062927942614
22,0.37423861014500087,0.8677261613691931,0.960223514897128,0.6997065536354744,0.9569367022874454,0.6912292142158462
23,0.36535165982012485,0.8691116544417278,0.9095533805278441,0.6781871535702642,0.9134171445233127,0.6719921747636126
24,0.3529529708450978,0.8736756316218419,1.0169836304460962,0.6834039778284969,1.0182563330357273,0.6781871535702642
25,0.3443473292152838,0.8776691116544417,0.9424617793411016,0.6980762960547766,0.9462654657351474,0.6954678839256603
26,0.3225669661194397,0.884678076609617,1.0196727020666003,0.6879686990544506,1.0185157340019941,0.6791653081186827
